z,n,symbol,% abundance,half_life annum,atomic_mass AMU
50,75,Sn, ,9.64,124.90778937
50,76,Sn, ,230000,125.907658958
50,77,Sn, ,2.1,126.910391726
50,78,Sn, ,59.07,127.910507828
50,79,Sn, ,2.23,128.91348244
50,80,Sn, ,3.72,129.913974531
50,81,Sn, ,56,130.917053067
50,82,Sn, ,39.7,131.917823898
50,83,Sn, ,1.46,132.923913753
50,84,Sn, ,1.05,133.92868043
50,85,Sn, ,515,134.934908603
50,86,Sn, ,345,135.939699
50,87,Sn, ,190,136.946162
50,88,Sn, ,140,137.951143
50,89,Sn, ,130,138.957799
50,90,Sn, , ,139.962973
51,52,Sb, ,49,102.939162
51,53,Sb, ,0.44,103.936344
51,54,Sb, ,1.22,104.931276547
51,55,Sb, ,0.6,105.928637979
51,56,Sb, ,4,106.924150621
51,57,Sb, ,7.4,107.922226731
51,58,Sb, ,17.2,108.918141203
51,59,Sb, ,23.6,109.916854283
51,60,Sb, ,75,110.913218187
51,61,Sb, ,53.5,111.912399903
51,62,Sb, ,6.67,112.909374664
51,63,Sb, ,3.49,113.909289155
51,64,Sb, ,32.1,114.906598
51,65,Sb, ,15.8,115.906792732
51,66,Sb, ,2.8,116.904841519
51,67,Sb, ,3.6,117.905532194
51,68,Sb, ,38.19,118.903944062
51,69,Sb, ,15.89,119.905080308
51,70,Sb,57.21,STABLE,120.903811353
51,71,Sb, ,2.7238,121.905169335
51,72,Sb,42.79,STABLE,122.904215292
51,73,Sb, ,60.2,123.905937065
51,74,Sb, ,2.75856,124.905254264
51,75,Sb, ,12.35,125.907253158
51,76,Sb, ,3.85,126.906925557
51,77,Sb, ,9.05,127.909146121
51,78,Sb, ,4.366,128.909146623
51,79,Sb, ,39.5,129.911662686
51,80,Sb, ,23.03,130.911989339
51,81,Sb, ,2.79,131.914508013
51,82,Sb, ,2.34,132.915272128
51,83,Sb, ,0.78,133.920537334
51,84,Sb, ,1.679,134.925184354
51,85,Sb, ,0.923,135.930749009
51,86,Sb, ,450,136.935522519
51,87,Sb, ,348,137.941331
51,88,Sb, ,93,138.946269
51,89,Sb, ,173,139.952345
51,90,Sb, , ,140.957552
51,91,Sb, ,53,141.963918
52,52,Te, ,18,103.946723408
52,53,Te, ,0.62,104.943304516
52,54,Te, ,70,105.937498521
52,55,Te, ,3.1,106.934882
52,56,Te, ,2.1,107.929380469
52,57,Te, ,4.4,108.927304532
52,58,Te, ,18.6,109.922458102
52,59,Te, ,19.3,110.921000587
52,60,Te, ,2,111.916727848
52,61,Te, ,1.7,112.915891
52,62,Te, ,15.2,113.91208782
52,63,Te, ,5.8,114.911902
52,64,Te, ,2.49,115.908465558
52,65,Te, ,62,116.908646227
52,66,Te, ,6,117.905860104
52,67,Te, ,16.05,118.906405699
52,68,Te,0.09,STABLE,119.904065779
52,69,Te, ,19.17,120.904945065
52,70,Te,2.55,STABLE,121.903044708
52,71,Te,0.89,9.2E+016,122.904271022
52,72,Te,4.74,STABLE,123.902818341
52,73,Te,7.07,STABLE,124.904431178
52,74,Te,8.84,STABLE,125.903312144
52,75,Te, ,9.35,126.905226993
52,76,Te,31.74,7.7E+024,127.904461237
52,77,Te, ,69.6,128.906596419
52,78,Te,34.08,7.9E+020,129.906222745
52,79,Te, ,25,130.90852221
52,80,Te, ,3.204,131.908546713
52,81,Te, ,12.5,132.91096333
52,82,Te, ,41.8,133.911396376
52,83,Te, ,19,134.916554715
52,84,Te, ,17.63,135.92010118
52,85,Te, ,2.49,136.925599354
52,86,Te, ,1.4,137.929472452
52,87,Te, ,1.6,138.935367191
52,88,Te, ,348,139.939487057
52,90,Te, , ,141.950027
52,91,Te, ,408,142.956489
52,92,Te, , ,143.961116
52,93,Te, , ,144.967783
53,55,I, ,36,107.943348
53,56,I, ,92.8,108.938086022
53,57,I, ,0.664,109.935085102
53,58,I, ,2.5,110.930269236
53,59,I, ,3.34,111.928004548
53,60,I, ,6.6,112.923650062
53,61,I, ,2.1,113.9220189
53,62,I, ,1.3,114.918048
53,63,I, ,2.91,115.916885513
53,64,I, ,2.22,116.913645649
53,65,I, ,13.7,117.913074
53,66,I, ,19.1,118.91006091
53,67,I, ,81.6,119.910093729
53,68,I, ,2.12,120.907411492
53,69,I, ,3.63,121.907590094
53,70,I, ,13.223,122.905589753
53,71,I, ,4.176,123.906210297
53,72,I, ,59.407,124.90463061
53,73,I, ,12.93,125.905624205
53,74,I,100,STABLE,126.904472592
53,75,I, ,24.99,127.905809355
53,76,I, ,15700000,128.904983643
53,77,I, ,12.36,129.906670168
53,78,I, ,8.0252,130.906126375
53,79,I, ,2.295,131.907993511
53,80,I, ,20.83,132.9078284
53,81,I, ,52.5,133.90977566
53,82,I, ,6.58,134.910059355
53,83,I, ,83.4,135.914604693
53,84,I, ,24.5,136.918028178
53,85,I, ,6.26,137.922726392
53,86,I, ,2.28,138.9264934
53,87,I, ,0.86,139.931715914
53,88,I, ,0.43,140.935666081
53,89,I, ,222,141.941166595
53,90,I, ,130,142.945475
53,91,I, ,300,143.951336
53,92,I, ,407,144.955845
53,93,I, ,94,145.961846
53,94,I, , ,146.966505
54,54,Xe, ,54,107.954232285
54,55,Xe, ,13,108.950434955
54,56,Xe, ,93,109.944258759
54,57,Xe, ,0.74,110.94147
54,58,Xe, ,2.7,111.935559068
54,59,Xe, ,2.74,112.933221663
54,60,Xe, ,10,113.927980329
54,61,Xe, ,18,114.926293943
54,62,Xe, ,59,115.921580955
54,63,Xe, ,61,116.920358758
54,64,Xe, ,3.8,117.916178678
54,65,Xe, ,5.8,118.915410641
54,66,Xe, ,40,119.911784267
54,67,Xe, ,40.1,120.911453012
54,68,Xe, ,20.1,121.908367655
54,69,Xe, ,2.05,122.908482235
54,70,Xe,0.095,160000000000000,123.905885174
54,71,Xe, ,16.9,124.90638764
54,72,Xe,0.089,STABLE,125.904297422
54,73,Xe, ,36.346,126.905183636
54,74,Xe,1.91,STABLE,127.90353075341
54,75,Xe,26.401,STABLE,128.90478085742
54,76,Xe,4.071,STABLE,129.903509346
54,77,Xe,21.232,STABLE,130.90508412808
54,78,Xe,26.909,STABLE,131.90415508346
54,79,Xe, ,5.2475,132.905910748
54,80,Xe,10.436,5.8E+022,133.90539303
54,81,Xe, ,9.14,134.907231441
54,82,Xe,8.857,2.165E+021,135.907214474
54,83,Xe, ,3.818,136.911557771
54,84,Xe, ,14.14,137.914146268
54,85,Xe, ,39.68,138.9187922
54,86,Xe, ,13.6,139.921645814
54,87,Xe, ,1.73,140.926787181
54,88,Xe, ,1.23,141.929973095
54,89,Xe, ,0.511,142.93536955
54,90,Xe, ,1.15,143.938945076
54,91,Xe, ,188,144.944719631
54,92,Xe, ,146,145.948518245
54,93,Xe, ,0.1,146.954482
54,94,Xe, ,0.4,147.958508
54,95,Xe, , ,148.964573
54,96,Xe, , ,149.968878
55,57,Cs, ,0.49,111.950172
55,58,Cs, ,17.7,112.944428484
55,59,Cs, ,0.57,113.941292244
55,60,Cs, ,1.4,114.93591
55,61,Cs, ,0.7,115.933395
55,62,Cs, ,8.4,116.928616723
55,63,Cs, ,14,117.926559517
55,64,Cs, ,43,118.922377327
55,65,Cs, ,61.3,119.920677277
55,66,Cs, ,155,120.917227235
55,67,Cs, ,21.18,121.916108144
55,68,Cs, ,5.86,122.91299606
55,69,Cs, ,30.9,123.912247366
55,70,Cs, ,46.7,124.909725953
55,71,Cs, ,1.64,125.909445821
55,72,Cs, ,6.25,126.907417527
55,73,Cs, ,3.64,127.907748452
55,74,Cs, ,32.06,128.90606591
55,75,Cs, ,29.21,129.906709281
55,76,Cs, ,9.689,130.905468457
55,77,Cs, ,6.48,131.90643774
55,78,Cs,100,STABLE,132.905451958
55,79,Cs, ,2.0652,133.906718501
55,80,Cs, ,2300000,134.905976907
55,81,Cs, ,13.01,135.907311431
55,82,Cs, ,30.08,136.907089296
55,83,Cs, ,32.5,137.911017119
55,84,Cs, ,9.27,138.913363822
55,85,Cs, ,63.7,139.917283707
55,86,Cs, ,24.84,140.920045279
55,87,Cs, ,1.684,141.924299514
55,88,Cs, ,1.791,142.927347346
55,89,Cs, ,0.994,143.932075402
55,90,Cs, ,0.587,144.935528927
55,91,Cs, ,0.322,145.940621867
55,92,Cs, ,0.23,146.944261512
55,93,Cs, ,146,147.949639026
55,94,Cs, ,0.113,148.953516
55,95,Cs, ,84,149.959023
55,96,Cs, ,69,150.963199
55,97,Cs, ,50,151.968728
56,58,Ba, ,0.43,113.950718489
56,59,Ba, ,0.45,114.947482
56,60,Ba, ,1.3,115.941621
56,61,Ba, ,1.75,116.938316403
56,62,Ba, ,5.5,117.933226
56,63,Ba, ,5.4,118.930659683
56,64,Ba, ,24,119.926044997
56,65,Ba, ,29.7,120.924052286
56,66,Ba, ,1.95,121.919904
56,67,Ba, ,2.4,122.91878106
56,68,Ba, ,11,123.915093627
56,69,Ba, ,3.3,124.91447184
56,70,Ba, ,100,125.911250202
56,71,Ba, ,12.7,126.911091272
56,72,Ba, ,2.43,127.908352446
56,73,Ba, ,2.23,128.908683409
56,74,Ba,0.11,STABLE,129.906326002
56,75,Ba, ,11.5,130.906946315
56,76,Ba,0.1,3E+021,131.905061231
56,77,Ba, ,10.551,132.906007443
56,78,Ba,2.42,STABLE,133.904508249
56,79,Ba,6.59,STABLE,134.905688447
56,80,Ba,7.85,STABLE,135.9045758
56,81,Ba,11.23,STABLE,136.905827207
56,82,Ba,71.7,STABLE,137.905247059
56,83,Ba, ,82.93,138.908841164
56,84,Ba, ,12.751,139.910608231
56,85,Ba, ,18.27,140.914403653
56,86,Ba, ,10.6,141.916432904
56,87,Ba, ,14.5,142.920625149
56,88,Ba, ,11.5,143.922954821
56,89,Ba, ,4.31,144.9275184
56,90,Ba, ,2.21,145.9303632
56,91,Ba, ,0.894,146.9353039
56,92,Ba, ,0.612,147.938223
56,93,Ba, ,0.344,148.943284
56,94,Ba, ,0.259,149.9464411
56,95,Ba, ,0.167,150.951755
56,96,Ba, ,0.139,151.95533
56,97,Ba, ,0.116,152.960848
56,98,Ba, ,53,153.964659
57,60,La, ,23.5,116.950326
57,63,La, ,2.8,119.938196
57,64,La, ,5.3,120.933236
57,65,La, ,8.6,121.93071
57,66,La, ,16.3,122.9263
57,67,La, ,21,123.924574275
57,68,La, ,64.8,124.920815931
57,69,La, ,54,125.919512667
57,70,La, ,5.1,126.916375083
57,71,La, ,5.18,127.915592123
57,72,La, ,11.6,128.912695592
57,73,La, ,8.7,129.912369413
57,74,La, ,59,130.91007
57,75,La, ,4.8,131.910119047
57,76,La, ,3.912,132.908218
57,77,La, ,6.45,133.908514011
57,78,La, ,19.5,134.906984427
57,79,La, ,9.87,135.907634962
57,80,La, ,60000,136.906450438
57,81,La,0.08881,103000000000,137.907124041
57,82,La,99.91119,STABLE,138.906362927
57,83,La, ,1.67858,139.909487285
57,84,La, ,3.92,140.910971155
57,85,La, ,91.1,141.91409076
57,86,La, ,14.2,142.916079482
57,87,La, ,40.8,143.919645589
57,88,La, ,24.8,144.921808065
57,89,La, ,6.1,145.925688017
57,90,La, ,4.06,146.9284178
57,91,La, ,1.26,147.9326794
57,92,La, ,1.05,148.935351259
57,93,La, ,0.59,149.9395475
57,94,La, ,0.457,150.942769
57,95,La, ,0.298,151.947085
57,96,La, ,0.245,152.950553
57,97,La, ,0.161,153.955416
57,98,La, ,101,154.95928
57,99,La, ,84,155.964519
57,100,La, , ,156.968792
58,63,Ce, ,1.1,120.943435
58,64,Ce, , ,121.93787
58,65,Ce, ,3.8,122.93528
58,66,Ce, ,6,123.93031
58,67,Ce, ,9.7,124.92844
58,68,Ce, ,51,125.923971
58,69,Ce, ,34,126.922727
58,70,Ce, ,3.93,127.918911
58,71,Ce, ,3.5,128.918102
58,72,Ce, ,22.9,129.914736
58,73,Ce, ,10.3,130.914429465
58,74,Ce, ,3.51,131.911466226
58,75,Ce, ,97,132.911520402
58,76,Ce, ,3.16,133.908928142
58,77,Ce, ,17.7,134.909160662
58,78,Ce,0.186,STABLE,135.907129256
58,79,Ce, ,9,136.907762416
58,80,Ce,0.251,4.4E+016,137.90599418
58,81,Ce, ,137.63,138.906647029
58,82,Ce,88.449,STABLE,139.905448433
58,83,Ce, ,32.511,140.908285991
58,84,Ce,11.114,5E+016,141.909250208
58,85,Ce, ,33.039,142.912391953
58,86,Ce, ,284.91,143.913652763
58,87,Ce, ,3.01,144.917265113
58,88,Ce, ,13.49,145.918812294
58,89,Ce, ,56.4,146.9226899
58,90,Ce, ,56.8,147.924424186
58,91,Ce, ,5.3,148.9284269
58,92,Ce, ,4,149.930384032
58,93,Ce, ,1.76,150.9342722
58,94,Ce, ,1.4,151.936682
58,95,Ce, ,0.865,152.941052
58,96,Ce, ,0.722,153.94394
58,97,Ce, ,313,154.948706
58,98,Ce, ,0.233,155.951884
58,99,Ce, ,0.18,156.957133
58,100,Ce, ,99,157.960773
59,62,Pr, ,10,120.955393
59,65,Pr, ,1.2,123.94294
59,66,Pr, ,3.3,124.937659
59,67,Pr, ,3.14,125.93524
59,68,Pr, ,4.2,126.93071
59,69,Pr, ,2.84,127.928791
59,70,Pr, ,30,128.925095
59,71,Pr, ,40,129.92359
59,72,Pr, ,1.51,130.92023496
59,73,Pr, ,1.6,131.91924
59,74,Pr, ,6.5,132.916330558
59,75,Pr, ,17,133.915696729
59,76,Pr, ,24,134.913111772
59,77,Pr, ,13.1,135.91267747
59,78,Pr, ,1.28,136.910679183
59,79,Pr, ,1.45,137.910757495
59,80,Pr, ,4.41,138.9089327
59,81,Pr, ,3.39,139.9090856
59,82,Pr,100,STABLE,140.907659604
59,83,Pr, ,19.12,141.91005164
59,84,Pr, ,13.57,142.910822624
59,85,Pr, ,17.28,143.913310682
59,86,Pr, ,5.984,144.914517987
59,87,Pr, ,24.09,145.91768763
59,88,Pr, ,13.4,146.919007438
59,89,Pr, ,2.29,147.922129992
59,90,Pr, ,2.26,148.9237361
59,91,Pr, ,6.19,149.926676391
59,92,Pr, ,18.9,150.928309066
59,93,Pr, ,3.57,151.9315529
59,94,Pr, ,4.29,152.933903511
59,95,Pr, ,2.3,153.937885165
59,96,Pr, ,1.47,154.940509193
59,97,Pr, ,0.444,155.9447669
59,98,Pr, ,0.295,156.9480031
59,99,Pr, ,0.181,157.952603
59,100,Pr, ,0.13,158.956232
59,101,Pr, ,0.17,159.961138
59,102,Pr, , ,160.965121
60,65,Nd, ,0.65,124.948395
60,66,Nd, , ,125.942694
60,67,Nd, ,1.8,126.939978
60,68,Nd, ,5,127.935018
60,69,Nd, ,6.7,128.933038
60,70,Nd, ,13,129.928506
60,71,Nd, ,25.4,130.92724802
60,72,Nd, ,94,131.923321237
60,73,Nd, ,70,132.922348
60,74,Nd, ,8.5,133.918790207
60,75,Nd, ,12.4,134.918181318
60,76,Nd, ,50.65,135.914976061
60,77,Nd, ,38.5,136.914563099
60,78,Nd, ,5.04,137.911950938
60,79,Nd, ,29.7,138.911951208
60,80,Nd, ,3.37,139.90954613
60,81,Nd, ,2.49,140.90961669
60,82,Nd,27.153,STABLE,141.907728824
60,83,Nd,12.173,STABLE,142.909819815
60,84,Nd,23.798,2290000000000000,143.910092798
60,85,Nd,8.293,STABLE,144.912579151
60,86,Nd,17.189,STABLE,145.913122459
60,87,Nd, ,10.98,146.916105969
60,88,Nd,5.756,STABLE,147.916899027
60,89,Nd, ,1.728,148.920154583
60,90,Nd,5.638,9.1E+018,149.920901322
60,91,Nd, ,12.44,150.923839363
60,92,Nd, ,11.4,151.924691242
60,93,Nd, ,31.6,152.927717868
60,94,Nd, ,25.9,153.929597404
60,95,Nd, ,8.9,154.933135598
60,96,Nd, ,5.26,155.935370358
60,97,Nd, ,1.15,156.939351074
60,98,Nd, ,0.82,157.94220562
60,99,Nd, ,0.485,158.946619085
60,100,Nd, ,439,159.949839172
60,101,Nd, ,0.22,160.954664
60,102,Nd, ,0.31,161.958121
60,103,Nd, , ,162.963414
61,67,Pm, ,1,127.948234
61,68,Pm, ,2.4,128.942909
61,69,Pm, ,2.6,129.940451
61,70,Pm, ,6.3,130.935834
61,71,Pm, ,6.2,131.93384
61,72,Pm, ,13.5,132.929782
61,73,Pm, ,5,133.928326
61,74,Pm, ,49,134.924785
61,75,Pm, ,300,135.923595949
61,76,Pm, ,2.4,136.920479519
61,77,Pm, ,10,137.919576119
61,78,Pm, ,4.15,138.916799228
61,79,Pm, ,9.2,139.916035918
61,80,Pm, ,20.9,140.913555081
61,81,Pm, ,40.5,141.912890982
61,82,Pm, ,265,142.910938068
61,83,Pm, ,363,143.912596208
61,84,Pm, ,17.7,144.912755748
61,85,Pm, ,5.53,145.91470224
61,86,Pm, ,2.6234,146.915144944
61,87,Pm, ,5.368,147.917481091
61,88,Pm, ,53.08,148.918341507
61,89,Pm, ,2.698,149.920990014
61,90,Pm, ,28.4,150.921216613
61,91,Pm, ,4.12,151.923505185
61,92,Pm, ,5.25,152.924156252
61,93,Pm, ,2.68,153.926712791
61,94,Pm, ,41.5,154.928136951
61,95,Pm, ,26.7,155.931114059
61,96,Pm, ,10.56,156.933121298
61,97,Pm, ,4.8,157.936546948
61,98,Pm, ,1.5,158.939286409
61,99,Pm, ,725,159.943215272
61,100,Pm, ,1.05,160.946229837
61,101,Pm, ,0.63,161.950574
61,102,Pm, ,0.43,162.953881
61,103,Pm, , ,163.958819
61,104,Pm, , ,164.96278
62,67,Sm, ,0.55,128.954557
62,68,Sm, , ,129.948792
62,69,Sm, ,1.2,130.946022
62,70,Sm, ,4,131.940805
62,71,Sm, ,2.89,132.93856
62,72,Sm, ,9.5,133.93411
62,73,Sm, ,10.3,134.93252
62,74,Sm, ,47,135.928275553
62,75,Sm, ,45,136.927007959
62,76,Sm, ,3.1,137.923243988
62,77,Sm, ,2.57,138.922296631
62,78,Sm, ,14.82,139.918994714
62,79,Sm, ,10.2,140.918481545
62,80,Sm, ,72.49,141.915209415
62,81,Sm, ,8.75,142.914634848
62,82,Sm,3.08,STABLE,143.912006285
62,83,Sm, ,340,144.913417157
62,84,Sm, ,68000000,145.913046835
62,85,Sm,15,106000000000,146.914904401
62,86,Sm,11.25,7000000000000000,147.914829233
62,87,Sm,13.82,STABLE,148.917191211
62,88,Sm,7.37,STABLE,149.917281993
62,89,Sm, ,90,150.919938859
62,90,Sm,26.74,STABLE,151.919738646
62,91,Sm, ,46.284,152.922103576
62,92,Sm,22.74,STABLE,153.922215756
62,93,Sm, ,22.18,154.924646645
62,94,Sm, ,9.4,155.925538191
62,95,Sm, ,8.03,156.928418598
62,96,Sm, ,5.3,157.929949262
62,97,Sm, ,11.37,158.93321713
62,98,Sm, ,9.6,159.935337032
62,99,Sm, ,4.8,160.939160062
62,100,Sm, ,2.4,161.941621687
62,101,Sm, ,1.23,162.945679085
62,102,Sm, ,1.43,163.948550061
62,103,Sm, ,0.98,164.95329
62,104,Sm, ,0.8,165.956575
62,105,Sm, , ,166.962072
62,106,Sm, , ,167.966033
63,67,Eu, ,0.9,129.964022
63,68,Eu, ,17.8,130.957634
63,69,Eu, , ,131.954696
63,71,Eu, ,0.5,133.946537
63,72,Eu, ,1.5,134.94187
63,73,Eu, ,3.3,135.93962
63,74,Eu, ,11,136.935430719
63,75,Eu, ,12.1,137.933709
63,76,Eu, ,17.9,138.929792307
63,77,Eu, ,1.51,139.928087633
63,78,Eu, ,40.7,140.924931734
63,79,Eu, ,2.34,141.923446719
63,80,Eu, ,2.59,142.920298678
63,81,Eu, ,10.2,143.918819481
63,82,Eu, ,5.93,144.916272659
63,83,Eu, ,4.61,145.917210852
63,84,Eu, ,24.1,146.91675244
63,85,Eu, ,54.5,147.918091288
63,86,Eu, ,93.1,148.917936875
63,87,Eu, ,36.9,149.919707092
63,88,Eu,47.81,1.7E+018,150.919856606
63,89,Eu, ,13.517,151.92175098
63,90,Eu,52.19,STABLE,152.921236789
63,91,Eu, ,8.601,153.922985699
63,92,Eu, ,4.753,154.922899847
63,93,Eu, ,15.19,155.924762976
63,94,Eu, ,15.18,156.925432556
63,95,Eu, ,45.9,157.927782192
63,96,Eu, ,18.1,158.929099512
63,97,Eu, ,42.6,159.931836982
63,98,Eu, ,26,160.933663991
63,99,Eu, ,10.6,161.936958329
63,100,Eu, ,7.7,162.93926551
63,101,Eu, ,4.15,163.942852943
63,102,Eu, ,2.3,164.94554007
63,103,Eu, ,1.7,165.949813
63,104,Eu, ,1.3,166.953011
63,105,Eu, ,0.2,167.957863
63,106,Eu, , ,168.961717
64,70,Gd, , ,133.955416
64,71,Gd, ,1.1,134.952496
64,72,Gd, ,200,135.9473
64,73,Gd, ,2.2,136.94502
64,74,Gd, ,4.7,137.940247
64,75,Gd, ,5.8,138.93813
64,76,Gd, ,15.8,139.933674
64,77,Gd, ,14,140.932126
64,78,Gd, ,70.2,141.928116
64,79,Gd, ,39,142.926750678
64,80,Gd, ,4.47,143.922963
64,81,Gd, ,23,144.921710051
64,82,Gd, ,48.27,145.918318513
64,83,Gd, ,38.06,146.919101014
64,84,Gd, ,71.1,147.918121414
64,85,Gd, ,9.28,148.919347666
64,86,Gd, ,1790000,149.918663949
64,87,Gd, ,123.9,150.920354922
64,88,Gd,0.2,108000000000000,151.919798414
64,89,Gd, ,240.4,152.921756945
64,90,Gd,2.18,STABLE,153.920872974
64,91,Gd,14.8,STABLE,154.922629356
64,92,Gd,20.47,STABLE,155.92213012
64,93,Gd,15.65,STABLE,156.923967424
64,94,Gd,24.84,STABLE,157.9241112
64,95,Gd, ,18.479,158.926395822
64,96,Gd,21.86,STABLE,159.927061202
64,97,Gd, ,3.66,160.929676267
64,98,Gd, ,8.4,161.930991812
64,99,Gd, ,68,162.93409664
64,100,Gd, ,45,163.935916193
64,101,Gd, ,10.3,164.93931708
64,102,Gd, ,4.8,165.941630413
64,103,Gd, ,4.26,166.945490012
64,104,Gd, ,3.03,167.948309
64,105,Gd, ,0.75,168.952882
64,106,Gd, ,0.41,169.956146
64,107,Gd, , ,170.961127
64,108,Gd, , ,171.964605
65,70,Tb, ,0.94,134.964516
65,73,Tb, ,200,137.953193
65,74,Tb, ,1.6,138.94833
65,75,Tb, ,2.29,139.945805048
65,76,Tb, ,3.5,140.941448
65,77,Tb, ,597,141.939280858
65,78,Tb, ,12,142.935137332
65,79,Tb, ,1,143.933045
65,80,Tb, , ,144.928717001
65,81,Tb, ,8,145.927252739
65,82,Tb, ,1.64,146.92405462
65,83,Tb, ,60,147.924275476
65,84,Tb, ,4.118,148.923253792
65,85,Tb, ,3.48,149.923664799
65,86,Tb, ,17.609,150.92310897
65,87,Tb, ,17.5,151.924081855
65,88,Tb, ,2.34,152.923441694
65,89,Tb, ,21.5,153.924683681
65,90,Tb, ,5.32,154.923509511
65,91,Tb, ,5.35,155.924754209
65,92,Tb, ,71,156.924031888
65,93,Tb, ,180,157.925419942
65,94,Tb,100,STABLE,158.925353707
65,95,Tb, ,72.3,159.927174553
65,96,Tb, ,6.89,160.927576806
65,97,Tb, ,7.6,161.9292754
65,98,Tb, ,19.5,162.930653609
65,99,Tb, ,3,163.933327561
65,100,Tb, ,2.11,164.934955198
65,101,Tb, ,25.1,165.937939727
65,102,Tb, ,19.4,166.940007046
65,103,Tb, ,8.2,167.943337074
65,104,Tb, ,5.1,168.945807
65,105,Tb, ,0.96,169.949855
65,106,Tb, ,1.24,170.953011
65,107,Tb, ,0.76,171.957391
65,108,Tb, , ,172.960805
65,109,Tb, , ,173.965679
66,73,Dy, ,0.6,138.959527
66,74,Dy, , ,139.95402
66,75,Dy, ,0.9,140.95128
66,76,Dy, ,2.3,141.946194
66,77,Dy, ,5.6,142.943994332
66,78,Dy, ,9.1,143.939269512
66,79,Dy, ,6,144.937473992
66,80,Dy, ,33.2,145.932844526
66,81,Dy, ,67,146.931082712
66,82,Dy, ,3.3,147.927149944
66,83,Dy, ,4.2,148.927327516
66,84,Dy, ,7.17,149.925593068
66,85,Dy, ,17.9,150.926191279
66,86,Dy, ,2.38,151.924725274
66,87,Dy, ,6.4,152.925771729
66,88,Dy, ,3000000,153.92442892
66,89,Dy, ,9.9,154.925758049
66,90,Dy,0.056,STABLE,155.924283593
66,91,Dy, ,8.14,156.925469555
66,92,Dy,0.095,STABLE,157.924414817
66,93,Dy, ,144.4,158.925745938
66,94,Dy,2.329,STABLE,159.925203578
66,95,Dy,18.889,STABLE,160.926939425
66,96,Dy,25.475,STABLE,161.926804507
66,97,Dy,24.896,STABLE,162.928737221
66,98,Dy,28.26,STABLE,163.929180819
66,99,Dy, ,2.332,164.931709402
66,100,Dy, ,81.6,165.93281281
66,101,Dy, ,6.2,166.935682415
66,102,Dy, ,8.7,167.937134977
66,103,Dy, ,39,168.940315231
66,104,Dy, ,55,169.94234
66,105,Dy, ,4.1,170.946312
66,106,Dy, ,160,171.948728
66,107,Dy, ,1.43,172.953043
66,108,Dy, ,160,173.955845
66,109,Dy, , ,174.960569
66,110,Dy, , ,175.963918
67,73,Ho, ,6,139.968526
67,74,Ho, ,4.1,140.963108
67,75,Ho, ,0.4,141.96001
67,76,Ho, , ,142.95486
67,77,Ho, ,0.7,143.952109712
67,78,Ho, ,2.4,144.947267392
67,79,Ho, ,3.32,145.944993503
67,80,Ho, ,5.8,146.940142293
67,81,Ho, ,2.2,147.937743925
67,82,Ho, ,21.1,148.933820457
67,83,Ho, ,72,149.933498353
67,84,Ho, ,35.2,150.931698176
67,85,Ho, ,161.8,151.931717618
67,86,Ho, ,2.01,152.930206671
